n;Task1;Task2;Task3
1289;4;3867;3323042
1290;4;3870;3328200
1291;4;3873;3333362
1292;4;3876;3338528
1293;4;3879;3343698
1294;4;3882;3348872
1295;4;3885;3354050
1296;4;3888;3359232
1297;4;3891;3364418
1298;4;3894;3369608
1299;4;3897;3374802
1300;4;3900;3380000
1301;4;3903;3385202
1302;4;3906;3390408
1303;4;3909;3395618
1304;4;3912;3400832
1305;4;3915;3406050
1306;4;3918;3411272
1307;4;3921;3416498
1308;4;3924;3421728
1309;4;3927;3426962
1310;4;3930;3432200
1311;4;3933;3437442
1312;4;3936;3442688
1313;4;3939;3447938
1314;4;3942;3453192
1315;4;3945;3458450
1316;4;3948;3463712
1317;4;3951;3468978
1318;4;3954;3474248
1319;4;3957;3479522
1320;4;3960;3484800
1321;4;3963;3490082
1322;4;3966;3495368
1323;4;3969;3500658
1324;4;3972;3505952
1325;4;3975;3511250
1326;4;3978;3516552
1327;4;3981;3521858
1328;4;3984;3527168
1329;4;3987;3532482
1330;4;3990;3537800
1331;4;3993;3543122
